text_id,family,z_score,n_tokens
0,kgw,-0.321633691485836,87
0,unbiased,-1.822590918419737,87
1,kgw,0.6625890101076481,82
1,unbiased,0.22086300336921602,82
2,kgw,0.562543823880762,79
2,unbiased,0.33752629432845715,79
3,kgw,-0.4588313624779897,76
3,unbiased,0.6882470437169846,76
4,kgw,1.5215345573853973,73
4,unbiased,1.2874523177876438,73
5,kgw,-1.3416404864999407,80
5,unbiased,-0.22360674774999012,80
6,kgw,1.1659974208160373,89
6,unbiased,-0.10599976552873065,89
7,kgw,0.7777776049383099,81
7,unbiased,-0.7777776049383099,81
8,kgw,-1.4444441234568615,81
8,unbiased,1.8888884691358956,81
9,kgw,-0.2357022048399734,72
9,unbiased,0.4714044096799468,72
10,kgw,-0.3464100815137939,75
10,unbiased,-0.8082901901988524,75
11,kgw,-0.10599976552873065,89
11,unbiased,-0.5299988276436532,89
12,kgw,2.2548846153571804,71
12,unbiased,-1.0681032388534013,71
13,kgw,0.8626619995810357,86
13,unbiased,0.43133099979051787,86
14,kgw,-0.11704111979887671,73
14,unbiased,0.11704111979887671,73
15,kgw,-0.6974856703007912,74
15,unbiased,0.9299808937343883,74
16,kgw,-1.1180337387499506,80
16,unbiased,-0.44721349549998024,80
17,kgw,0.9428088193598936,72
17,unbiased,0.7071066145199202,72
18,kgw,-1.1180337387499506,80
18,unbiased,0.44721349549998024,80
19,kgw,0.321633691485836,87
19,unbiased,0.7504786134669506,87
20,kgw,1.270170298883911,75
20,unbiased,0.11547002717126463,75
21,kgw,0.46499044686719415,74
21,unbiased,1.8599617874687766,74
22,kgw,-0.43133099979051787,86
22,unbiased,0.43133099979051787,86
23,kgw,0.6625890101076481,82
23,unbiased,-1.3251780202152963,82
24,kgw,1.2535660553417967,77
24,unbiased,1.025644954370561,77
25,kgw,0.7777776049383099,81
25,unbiased,0.7777776049383099,81
26,kgw,0.21320067090107467,88
26,unbiased,-1.4924046963075226,88
27,kgw,0.6255431117364689,92
27,unbiased,0.8340574823152919,92
28,kgw,-1.0314210334928797,94
28,unbiased,0.4125684133971519,94
29,kgw,0.3144853850825234,91
29,unbiased,0.7337992318592212,91
30,kgw,-1.6644790128982487,61
30,unbiased,0.8962579300221338,61
31,kgw,-0.23904566472403524,70
