method,attack_type,attack_strength,prompt_id,z_score,remaining_tokens
kgw_d2.5,deletion,0.4,9,-0.632455332033739,40
kgw_d2.5,deletion,0.5,9,-0.632455332033739,40
kgw_d2.5,synonym,0.0,9,4.919348450499783,80
kgw_d2.5,synonym,0.1,9,4.024921459499822,80
kgw_d2.5,synonym,0.2,9,2.236067477499901,80
kgw_d2.5,synonym,0.3,9,2.4596742252498913,80
kgw_d2.5,deletion,0.0,10,7.53808724000221,79
kgw_d2.5,deletion,0.1,10,6.128257325839308,72
kgw_d2.5,deletion,0.2,10,4.249998937500266,64
kgw_d2.5,deletion,0.3,10,3.1592921028955576,53
kgw_d2.5,deletion,0.4,10,-1.264910664067478,40
kgw_d2.5,deletion,0.5,10,-1.264910664067478,40
kgw_d2.5,synonym,0.0,10,7.379022675749674,80
kgw_d2.5,synonym,0.1,10,6.931809180249694,80
kgw_d2.5,synonym,0.2,10,5.366561945999763,80
kgw_d2.5,synonym,0.3,10,3.801314711749832,80
kgw_d2.5,deletion,0.0,11,6.412999592240686,79
kgw_d2.5,deletion,0.1,11,5.421150711319388,72
kgw_d2.5,deletion,0.2,11,3.99999900000025,64
kgw_d2.5,deletion,0.3,11,1.236244735915653,53
kgw_d2.5,deletion,0.4,11,0.0,40
kgw_d2.5,deletion,0.5,11,0.0,40
kgw_d2.5,synonym,0.0,11,6.260988936999723,80
kgw_d2.5,synonym,0.1,11,6.037382189249733,80
kgw_d2.5,synonym,0.2,11,3.354101216249852,80
kgw_d2.5,synonym,0.3,11,3.577707963999842,80
kgw_d2.5,deletion,0.0,12,5.512929474031467,79
kgw_d2.5,deletion,0.1,12,4.7140440967994675,72
kgw_d2.5,deletion,0.2,12,3.2499991875002032,64
kgw_d2.5,deletion,0.3,12,2.060407893192755,53
kgw_d2.5,deletion,0.4,12,0.632455332033739,40
kgw_d2.5,deletion,0.5,12,0.632455332033739,40
kgw_d2.5,synonym,0.0,12,5.813775441499743,80
kgw_d2.5,synonym,0.1,12,4.472134954999802,80
kgw_d2.5,synonym,0.2,12,3.1304944684998617,80
kgw_d2.5,synonym,0.3,12,3.354101216249852,80
kgw_d2.5,deletion,0.0,13,6.638017121792991,79
kgw_d2.5,deletion,0.1,13,5.185448506479415,72
kgw_d2.5,deletion,0.2,13,3.4999991250002185,64
kgw_d2.5,deletion,0.3,13,2.6098499980441563,53
kgw_d2.5,deletion,0.4,13,-0.3162276660168695,40
