method,samples,mean_z,std_z,median_z,min_z,max_z,mean_ppl,std_ppl,median_ppl,mean_seconds,std_seconds,mean_new_tokens
baseline,100,0.13416404864999407,1.1078231710972026,0.22360674774999012,-2.6832809729998814,2.236067477499901,9.239107208251953,3.0263289403161933,8.90787935256958,1.7313256151974201,0.14546727976141352,80.0
kgw,100,5.21674542500727,0.949776475890696,5.366561945999763,2.4596742252498913,7.826236171249654,12.177587847709656,3.940380435620048,11.515125274658203,1.7419532613735647,0.05971750738461268,80.0
unbiased,100,2.745890862369879,0.9465938956696728,2.6832809729998814,0.22360674774999012,4.919348450499783,9.906729431152344,3.5679313832445922,9.208647727966309,1.7659154317621142,0.059800981855531885,80.0
