prompt_id,method,family,z_score,ppl,new_tokens,seconds
0,baseline,baseline,0.8944269909999605,9.566606521606445,80,2.309000974521041
1,baseline,baseline,-0.22360674774999012,11.881935119628906,80,1.7062152745202184
2,baseline,baseline,0.44721349549998024,7.0272393226623535,80,1.6864430801942945
3,baseline,baseline,0.44721349549998024,3.5598602294921875,80,1.6832180321216583
4,baseline,baseline,0.0,6.141146183013916,80,1.7623887825757265
5,baseline,baseline,-1.3416404864999407,7.123020172119141,80,1.7330004731193185
6,baseline,baseline,1.3416404864999407,6.219133377075195,80,1.7628253987058997
7,baseline,baseline,1.3416404864999407,10.853256225585938,80,1.7670592553913593
8,baseline,baseline,-0.44721349549998024,14.883398056030273,80,1.7358738100156188
9,baseline,baseline,-1.3416404864999407,6.327462673187256,80,1.7409949973225594
10,baseline,baseline,1.1180337387499506,4.829823970794678,80,1.7734774183481932
11,baseline,baseline,0.6708202432499704,6.566159725189209,80,1.7327661970630288
12,baseline,baseline,-0.22360674774999012,8.726157188415527,80,1.734624962322414
13,baseline,baseline,-0.8944269909999605,17.882535934448242,80,1.7164996666833758
14,baseline,baseline,-0.6708202432499704,6.807415962219238,80,1.717939623631537
15,baseline,baseline,-0.6708202432499704,9.375049591064453,80,1.7567148869857192
16,baseline,baseline,-0.22360674774999012,15.72303295135498,80,1.7400426510721445
17,baseline,baseline,-1.3416404864999407,8.443075180053711,80,1.7622265117242932
18,baseline,baseline,-0.8944269909999605,6.827060222625732,80,1.74584190081805
19,baseline,baseline,0.0,10.078551292419434,80,1.763759388588369
20,baseline,baseline,-0.6708202432499704,9.682371139526367,80,1.7316820928826928
21,baseline,baseline,0.0,10.191256523132324,80,1.7130413902923465
22,baseline,baseline,0.22360674774999012,7.481881618499756,80,1.7383880987763405
23,baseline,baseline,2.012460729749911,9.190362930297852,80,1.7064249366521835
24,baseline,baseline,-0.44721349549998024,12.481170654296875,80,1.7523778779432178
25,baseline,baseline,-0.8944269909999605,6.299989700317383,80,1.7420897437259555
26,baseline,baseline,-0.6708202432499704,6.514355182647705,80,1.7635753871873021
27,baseline,baseline,-0.8944269909999605,7.9738969802856445,80,1.7273619966581464
28,baseline,baseline,-0.8944269909999605,9.317721366882324,80,1.661322026513517
29,baseline,baseline,0.0,6.774869918823242,80,1.764564249664545
30,baseline,baseline,-0.22360674774999012,6.781264781951904,80,1.7568541755899787
31,baseline,baseline,0.6708202432499704,8.984476089477539,80,1.752432007342577
32,baseline,baseline,0.22360674774999012,8.320663452148438,80,1.7770929858088493
33,baseline,baseline,0.8944269909999605,10.259965896606445,80,1.7566526802256703
34,baseline,baseline,-0.8944269909999605,12.967582702636719,80,1.7594155883416533
35,baseline,baseline,0.8944269909999605,9.584699630737305,80,1.741030277684331
36,baseline,baseline,1.3416404864999407,13.988723754882812,80,1.73195347096771
37,baseline,baseline,2.9068877207498716,7.950915336608887,80,1.7595044234767556
38,baseline,baseline,-0.22360674774999012,8.466690063476562,80,1.7636304227635264
39,baseline,baseline,0.0,9.730627059936523,80,1.7323257736861706
40,baseline,baseline,0.22360674774999012,9.276448249816895,80,1.7441511992365122
41,baseline,baseline,2.4596742252498913,8.712630271911621,80,1.7639388889074326
42,baseline,baseline,-1.1180337387499506,10.980626106262207,80,1.7691599177196622
43,baseline,baseline,-0.6708202432499704,13.318203926086426,80,1.8077311320230365
44,baseline,baseline,-0.22360674774999012,15.938241958618164,80,1.8195517659187317
45,baseline,baseline,0.44721349549998024,8.483986854553223,80,1.7932655904442072
46,baseline,baseline,-0.22360674774999012,5.967503547668457,80,1.7885397104546428
47,baseline,baseline,1.788853981999921,9.434667587280273,80,1.8119880072772503
48,baseline,baseline,1.1180337387499506,9.36138916015625,80,1.7044829754158854
49,baseline,baseline,0.0,10.833686828613281,80,1.7794558927416801
50,baseline,baseline,0.6708202432499704,11.192056655883789,80,1.8038114542141557
51,baseline,baseline,0.6708202432499704,9.31710433959961,80,1.7712850319221616
52,baseline,baseline,2.236067477499901,12.935384750366211,80,1.7321580899879336
53,baseline,baseline,-0.44721349549998024,13.9994535446167,80,1.7276649316772819
54,baseline,baseline,1.5652472342499308,9.641816139221191,80,1.7645498309284449
55,baseline,baseline,0.44721349549998024,13.327844619750977,80,1.7871482810005546
56,baseline,baseline,-0.22360674774999012,8.78816032409668,80,1.8360770950093865
57,baseline,baseline,1.1180337387499506,9.576264381408691,80,1.8220116263255477
58,baseline,baseline,0.22360674774999012,7.14142370223999,80,1.797169634141028
59,baseline,baseline,-0.22360674774999012,8.905489921569824,80,1.7738142730668187
60,baseline,baseline,0.22360674774999012,5.993192672729492,80,1.7533124880865216
61,baseline,baseline,0.22360674774999012,10.947044372558594,80,1.8285052049905062
62,baseline,baseline,0.6708202432499704,4.528098106384277,80,1.7623195685446262
63,baseline,baseline,0.44721349549998024,11.484109878540039,80,1.7774662422016263
64,baseline,baseline,0.6708202432499704,10.968378067016602,80,1.7901832833886147
65,baseline,baseline,0.6708202432499704,8.439703941345215,80,1.7867089537903666
66,baseline,baseline,0.6708202432499704,5.788106918334961,80,1.7691518915817142
67,baseline,baseline,1.1180337387499506,9.057308197021484,80,1.7374217007309198
68,baseline,baseline,0.6708202432499704,7.250731945037842,80,1.6912615550681949
69,baseline,baseline,-0.6708202432499704,6.0947089195251465,80,1.7267167270183563
70,baseline,baseline,1.788853981999921,5.189785957336426,80,1.728124177083373
71,baseline,baseline,0.8944269909999605,10.797647476196289,80,1.708725425414741
72,baseline,baseline,0.8944269909999605,14.775117874145508,80,1.7730249119922519
73,baseline,baseline,-1.1180337387499506,7.792908191680908,80,1.720100020058453
74,baseline,baseline,0.6708202432499704,6.136635780334473,80,1.723067769780755
75,baseline,baseline,-0.8944269909999605,9.640572547912598,80,1.8130409121513367
76,baseline,baseline,0.0,13.448427200317383,80,2.1704985899850726
77,baseline,baseline,0.6708202432499704,6.746513843536377,80,1.855371038429439
78,baseline,baseline,-1.3416404864999407,12.016697883605957,80,1.6952387299388647
79,baseline,baseline,-0.8944269909999605,8.014283180236816,80,1.6843813080340624
80,baseline,baseline,0.6708202432499704,8.75389289855957,80,1.704431257210672
81,baseline,baseline,-0.44721349549998024,5.6269001960754395,80,1.7490332964807749
82,baseline,baseline,0.22360674774999012,12.623290061950684,80,1.7273974623531103
83,baseline,baseline,0.0,6.939556121826172,80,1.7057440532371402
84,baseline,baseline,-0.44721349549998024,11.746086120605469,80,1.6761003723368049
85,baseline,baseline,2.236067477499901,7.516425132751465,80,1.6638470701873302
86,baseline,baseline,1.3416404864999407,7.799731731414795,80,1.6870930436998606
87,baseline,baseline,0.22360674774999012,8.6644287109375,80,1.7337451903149486
88,baseline,baseline,0.6708202432499704,12.6201171875,80,1.7604545401409268
89,baseline,baseline,-0.8944269909999605,8.087447166442871,80,1.8088200390338898
90,baseline,baseline,0.44721349549998024,9.468857765197754,80,1.7899051178246737
91,baseline,baseline,0.0,12.7706880569458,80,1.729090509004891
92,baseline,baseline,0.44721349549998024,6.045154094696045,80,1.744638331234455
93,baseline,baseline,-0.6708202432499704,9.766538619995117,80,1.8068173173815012
94,baseline,baseline,-0.6708202432499704,6.55234956741333,80,1.7154905637726188
95,baseline,baseline,1.1180337387499506,8.971145629882812,80,1.7526301871985197
96,baseline,baseline,0.0,13.487489700317383,80,1.7480598809197545
97,baseline,baseline,-1.3416404864999407,7.833207130432129,80,1.7604107540100813
98,baseline,baseline,0.22360674774999012,8.689872741699219,80,1.725070702843368
99,baseline,baseline,0.6708202432499704,6.716932773590088,80,1.7355334823951125
0,kgw_d1.0,kgw,3.1304944684998617,13.5307035446167,80,1.767867329530418
1,kgw_d1.0,kgw,1.3416404864999407,5.908252716064453,80,1.7469309717416763
2,kgw_d1.0,kgw,4.248528207249812,6.829927921295166,80,1.7743501784279943
3,kgw_d1.0,kgw,4.024921459499822,6.0343146324157715,80,1.7949018916115165
