method,family,threshold,accuracy,precision,recall,f1,false_positive_rate,auc
unb_a1.5,unbiased,4.0,0.5,0.0,0.0,0.0,0.0,0.7359
unb_a1.5,unbiased,4.5,0.5,0.0,0.0,0.0,0.0,0.7359
unb_a1.5,unbiased,5.0,0.5,0.0,0.0,0.0,0.0,0.7359
unb_a2.0,unbiased,0.5,0.79,0.7164179104477612,0.96,0.8205128205128205,0.38,0.9040999999999999
unb_a2.0,unbiased,1.0,0.835,0.8073394495412844,0.88,0.8421052631578947,0.21,0.9040999999999999
unb_a2.0,unbiased,1.5,0.8,0.8947368421052632,0.68,0.7727272727272727,0.08,0.9040999999999999
unb_a2.0,unbiased,2.0,0.725,0.9245283018867925,0.49,0.6405228758169934,0.04,0.9040999999999999
unb_a2.0,unbiased,2.5,0.595,0.9523809523809523,0.2,0.3305785123966942,0.01,0.9040999999999999
unb_a2.0,unbiased,3.0,0.545,0.9090909090909091,0.1,0.18018018018018017,0.01,0.9040999999999999
unb_a2.0,unbiased,3.5,0.525,1.0,0.05,0.09523809523809523,0.0,0.9040999999999999
unb_a2.0,unbiased,4.0,0.515,1.0,0.03,0.05825242718446602,0.0,0.9040999999999999
unb_a2.0,unbiased,4.5,0.5,0.0,0.0,0.0,0.0,0.9040999999999999
unb_a2.0,unbiased,5.0,0.5,0.0,0.0,0.0,0.0,0.9040999999999999
unb_a2.5,unbiased,0.5,0.795,0.7185185185185186,0.97,0.825531914893617,0.38,0.9549
unb_a2.5,unbiased,1.0,0.875,0.8205128205128205,0.96,0.8847926267281107,0.21,0.9549
unb_a2.5,unbiased,1.5,0.9,0.9166666666666666,0.88,0.8979591836734694,0.08,0.9549
unb_a2.5,unbiased,2.0,0.875,0.9518072289156626,0.79,0.8633879781420765,0.04,0.9549
unb_a2.5,unbiased,2.5,0.79,0.9833333333333333,0.59,0.7375,0.01,0.9549
unb_a2.5,unbiased,3.0,0.695,0.975609756097561,0.4,0.5673758865248227,0.01,0.9549
unb_a2.5,unbiased,3.5,0.62,1.0,0.24,0.3870967741935484,0.0,0.9549
unb_a2.5,unbiased,4.0,0.56,1.0,0.12,0.21428571428571427,0.0,0.9549
