bit_id,z_score,recovered_bit,samples
0,52.447591013532985,1,641
1,-52.12489447509566,0,595
2,53.00015052581455,1,611
3,48.875078528040355,1,577
4,-50.37051051518526,0,578
5,52.17575835221055,1,589
6,-50.68095379282787,0,571
7,-53.239715475782404,0,612
8,53.42826334267286,1,610
9,-54.03890494399964,0,565
10,53.900223513212204,1,634
11,-55.063361522530016,0,617
